skills,education,career
"deep learning,tensorflow,python,kubernetes",M.Tech,AI Engineer
"c++,c",B.Tech,Software Engineer
"adobe,creativity,figma",B.Des,UI/UX Designer
"javascript,css",B.Sc,Frontend Developer
"c++,c",B.Tech,Software Engineer
"ds,c",B.Tech,Software Engineer
"pandas,python,numpy",B.Sc,Data Analyst
"python,pandas",B.Sc,Data Analyst
"python,pandas",B.Sc,Data Analyst
"adobe,creativity",B.Des,UI/UX Designer
"sql,ml,python",B.Tech,Data Scientist
"cloud,communication,marketing,sales",BBA,Marketing Executive
"r,sql,statistics,docker",M.Sc,Data Analyst
"python,numpy",B.Sc,Data Analyst
"python,pandas",B.Sc,Data Analyst
"docker,communication,marketing,sales",BBA,Marketing Executive
"html,javascript,docker,css",B.Sc,Frontend Developer
"sql,java,spring,cloud",B.Tech,Backend Developer
"tensorflow,python",M.Tech,AI Engineer
"communication,react,marketing,sales",BBA,Marketing Executive
"html,javascript",B.Sc,Frontend Developer
"sql,spring",B.Tech,Backend Developer
"c++,ds,c",B.Tech,Software Engineer
"html,javascript,docker,css",B.Sc,Frontend Developer
"c++,ds,c",B.Tech,Software Engineer
"r,sql",M.Sc,Data Analyst
"c++,c",B.Tech,Software Engineer
"html,css",B.Sc,Frontend Developer
"network,linux,security",B.Tech,Cybersecurity Analyst
"communication,git,marketing,sales",BBA,Marketing Executive
"sql,ml,python",B.Tech,Data Scientist
"pandas,python,numpy",B.Sc,Data Analyst
"sql,python",B.Tech,Data Scientist
"pandas,git,python,numpy",B.Sc,Data Analyst
"pandas,numpy",B.Sc,Data Analyst
"python,pandas",B.Sc,Data Analyst
"pandas,flask,python,numpy",B.Sc,Data Analyst
"sql,java",B.Tech,Backend Developer
"sql,java",B.Tech,Backend Developer
"python,pandas",B.Sc,Data Analyst
"adobe,creativity",B.Des,UI/UX Designer
"communication,marketing,sales",BBA,Marketing Executive
"pandas,numpy",B.Sc,Data Analyst
"html,css",B.Sc,Frontend Developer
"r,sql,kubernetes,statistics",M.Sc,Data Analyst
"linux,security",B.Tech,Cybersecurity Analyst
"sql,spring",B.Tech,Backend Developer
"pandas,python,numpy,cloud",B.Sc,Data Analyst
"sql,ml,python,kubernetes",B.Tech,Data Scientist
"communication,marketing",BBA,Marketing Executive
"network,security",B.Tech,Cybersecurity Analyst
"sql,ml,python,kubernetes",B.Tech,Data Scientist
"pandas,python,numpy",B.Sc,Data Analyst
"html,javascript,css",B.Sc,Frontend Developer
"ds,c++",B.Tech,Software Engineer
"deep learning,tensorflow,python",M.Tech,AI Engineer
"pandas,python,numpy,docker",B.Sc,Data Analyst
"pandas,numpy",B.Sc,Data Analyst
"adobe,creativity",B.Des,UI/UX Designer
"pandas,python,numpy",B.Sc,Data Analyst
"ds,c",B.Tech,Software Engineer
"sql,ml,python,kubernetes",B.Tech,Data Scientist
"sql,ml,python,cloud",B.Tech,Data Scientist
"sql,java,spring,flask",B.Tech,Backend Developer
"tensorflow,python",M.Tech,AI Engineer
"c++,ds,c",B.Tech,Software Engineer
"sql,java,spring",B.Tech,Backend Developer
"network,linux,security,cloud",B.Tech,Cybersecurity Analyst
"html,javascript,react,css",B.Sc,Frontend Developer
"javascript,css",B.Sc,Frontend Developer
"html,javascript,css",B.Sc,Frontend Developer
"communication,flask,marketing,sales",BBA,Marketing Executive
"r,sql,statistics,cloud",M.Sc,Data Analyst
